ComponentId,SourceProject,DestinationProject,ConfigurationId,ConfigurationName,DateTime,Status,StatusText
keboola.shared-code,TEST 1,TEST 2,shared-codes.python-transformation-v2,Python Transformation V2 Shared Codes,2024-09-16 15:21:28,Failed,"FAILED: keboola.shared-code Python Transformation V2 Shared Codes Failed to update config: {""error"":""Invalid access token"",""exceptionId"":""kbc-us-east-1-connection-cb68b7fb75b0e96c5dc3d7b47815f1da"",""code"":""storage.tokenInvalid""}"
intecs.ex-tutorial-new-componennt,TEST 1,TEST 2,1176127351,[DoorDash] extract data,2024-09-16 15:21:30,Failed,"FAILED: intecs.ex-tutorial-new-componennt [DoorDash] extract data Failed to update config: {""error"":""Invalid access token"",""exceptionId"":""kbc-us-east-1-connection-2f57bfa8ed724a66f47b65ec68df1e85"",""code"":""storage.tokenInvalid""}"
keboola.variables,TEST 1,TEST 2,1176181796,Variables definition for keboola.snowflake-transformation/1176181743,2024-09-16 15:21:30,Failed,"FAILED: keboola.variables Variables definition for keboola.snowflake-transformation/1176181743 Failed to update config: {""error"":""Invalid access token"",""exceptionId"":""kbc-us-east-1-connection-5c6342d0ecb314112e4da2622834a3f1"",""code"":""storage.tokenInvalid""}"
keboola.python-transformation-v2,TEST 1,TEST 2,1175807955,[DoorDash] Test,2024-09-16 15:21:31,Failed,"FAILED: keboola.python-transformation-v2 [DoorDash] Test Failed to update config: {""error"":""Invalid access token"",""exceptionId"":""kbc-us-east-1-connection-9341c99b3d5b342b0965b1d11709a162"",""code"":""storage.tokenInvalid""}"
keboola.snowflake-transformation,TEST 1,TEST 2,1180484206,[DoorDash] test 2,2024-09-16 15:21:31,Failed,"FAILED: keboola.snowflake-transformation [DoorDash] test 2 Failed to update config: {""error"":""Invalid access token"",""exceptionId"":""kbc-us-east-1-connection-f0c8d213d50bad2cb597f62158dbcfcf"",""code"":""storage.tokenInvalid""}"
keboola.snowflake-transformation,TEST 1,TEST 2,1176181743,[DoorDash] SQL transforamtion,2024-09-16 15:21:31,Failed,"FAILED: keboola.snowflake-transformation [DoorDash] SQL transforamtion Failed to update config: {""error"":""Invalid access token"",""exceptionId"":""kbc-us-east-1-connection-9aefd2cd2d9a1cad24d47c4dba0f673e"",""code"":""storage.tokenInvalid""}"
keboola.shared-code,TEST 1,TEST 2,shared-codes.python-transformation-v2,Python Transformation V2 Shared Codes,2024-09-16 15:23:07,Success,**Migrated**: keboola.shared-code **Python Transformation V2 Shared Codes** at 2024-09-16 15:23:07
keboola.shared-code,TEST 1,TEST 2,shared-codes.snowflake-transformation,Snowflake Transformation Shared Codes,2024-09-16 15:23:07,Success,**Migrated**: keboola.shared-code **Snowflake Transformation Shared Codes** at 2024-09-16 15:23:07
intecs.ex-tutorial-new-componennt,TEST 1,TEST 2,1176127351,[DoorDash] extract data,2024-09-16 15:23:14,Success,**Migrated**: intecs.ex-tutorial-new-componennt **[DoorDash] extract data** at 2024-09-16 15:23:14
keboola.variables,TEST 1,TEST 2,1176181796,Variables definition for keboola.snowflake-transformation/1176181743,2024-09-16 15:23:14,Success,**Migrated**: keboola.variables **Variables definition for keboola.snowflake-transformation/1176181743** at 2024-09-16 15:23:14
keboola.python-transformation-v2,TEST 1,TEST 2,1175807955,[DoorDash] Test,2024-09-16 15:23:16,Success,**Migrated**: keboola.python-transformation-v2 **[DoorDash] Test** at 2024-09-16 15:23:16
keboola.snowflake-transformation,TEST 1,TEST 2,1180484206,[DoorDash] test 2,2024-09-16 15:23:16,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] test 2** at 2024-09-16 15:23:16
keboola.snowflake-transformation,TEST 1,TEST 2,1176181743,[DoorDash] SQL transforamtion,2024-09-16 15:23:16,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] SQL transforamtion** at 2024-09-16 15:23:16
keboola.shared-code,TEST 1,TEST 2,shared-codes.snowflake-transformation,Snowflake Transformation Shared Codes,2024-09-17 10:22:06,Success,**Migrated**: keboola.shared-code **Snowflake Transformation Shared Codes** at 2024-09-17 10:22:06
keboola.shared-code,TEST 1,TEST 2,shared-codes.python-transformation-v2,Python Transformation V2 Shared Codes,2024-09-17 10:22:06,Success,**Migrated**: keboola.shared-code **Python Transformation V2 Shared Codes** at 2024-09-17 10:22:06
keboola.snowflake-transformation,TEST 1,TEST 2,1180484206,[DoorDash] test 2,2024-09-17 10:22:13,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] test 2** at 2024-09-17 10:22:13
keboola.shared-code,TEST 1,TEST 2,shared-codes.python-transformation-v2,Python Transformation V2 Shared Codes,2024-09-18 10:09:39,Success,**Migrated**: keboola.shared-code **Python Transformation V2 Shared Codes** at 2024-09-18 10:09:39
intecs.ex-tutorial-new-componennt,TEST 1,TEST 2,1176127351,[DoorDash] extract data,2024-09-18 10:09:46,Success,**Migrated**: intecs.ex-tutorial-new-componennt **[DoorDash] extract data** at 2024-09-18 10:09:46
keboola.variables,TEST 1,TEST 2,1176181796,Variables definition for keboola.snowflake-transformation/1176181743,2024-09-18 10:09:46,Success,**Migrated**: keboola.variables **Variables definition for keboola.snowflake-transformation/1176181743** at 2024-09-18 10:09:46
keboola.python-transformation-v2,TEST 1,TEST 2,1175807955,[DoorDash] Test,2024-09-18 10:09:47,Success,**Migrated**: keboola.python-transformation-v2 **[DoorDash] Test** at 2024-09-18 10:09:47
keboola.snowflake-transformation,TEST 1,TEST 2,1180484206,[DoorDash] test 2,2024-09-18 10:09:47,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] test 2** at 2024-09-18 10:09:47
keboola.snowflake-transformation,TEST 1,TEST 2,1176181743,[DoorDash] SQL transforamtion,2024-09-18 10:09:47,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] SQL transforamtion** at 2024-09-18 10:09:47
keboola.shared-code,TEST 1,TEST 4,shared-codes.snowflake-transformation,Snowflake Transformation Shared Codes,2024-09-18 10:09:53,Success,**Migrated**: keboola.shared-code **Snowflake Transformation Shared Codes** at 2024-09-18 10:09:53
keboola.shared-code,TEST 1,TEST 4,shared-codes.python-transformation-v2,Python Transformation V2 Shared Codes,2024-09-18 10:09:53,Success,**Migrated**: keboola.shared-code **Python Transformation V2 Shared Codes** at 2024-09-18 10:09:53
intecs.ex-tutorial-new-componennt,TEST 1,TEST 4,1176127351,[DoorDash] extract data,2024-09-18 10:10:00,Success,**Migrated**: intecs.ex-tutorial-new-componennt **[DoorDash] extract data** at 2024-09-18 10:10:00
keboola.variables,TEST 1,TEST 4,1176181796,Variables definition for keboola.snowflake-transformation/1176181743,2024-09-18 10:10:01,Success,**Migrated**: keboola.variables **Variables definition for keboola.snowflake-transformation/1176181743** at 2024-09-18 10:10:01
keboola.snowflake-transformation,TEST 1,TEST 4,1176181743,[DoorDash] SQL transforamtion,2024-09-18 10:10:02,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] SQL transforamtion** at 2024-09-18 10:10:02
keboola.python-transformation-v2,TEST 1,TEST 4,1175807955,[DoorDash] Test,2024-09-18 10:10:02,Success,**Migrated**: keboola.python-transformation-v2 **[DoorDash] Test** at 2024-09-18 10:10:02
keboola.snowflake-transformation,TEST 1,TEST 4,1180484206,[DoorDash] test 2,2024-09-18 10:10:02,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] test 2** at 2024-09-18 10:10:02
keboola.shared-code,TEST 1,TEST 2,shared-codes.snowflake-transformation,Snowflake Transformation Shared Codes,2024-09-19 10:53:16,Success,**Migrated**: keboola.shared-code **Snowflake Transformation Shared Codes** at 2024-09-19 10:53:16
keboola.shared-code,TEST 1,TEST 2,shared-codes.python-transformation-v2,Python Transformation V2 Shared Codes,2024-09-19 10:53:16,Success,**Migrated**: keboola.shared-code **Python Transformation V2 Shared Codes** at 2024-09-19 10:53:16
keboola.snowflake-transformation,TEST 1,TEST 2,1180484206,[DoorDash] test zmeny nazvu,2024-09-19 10:53:22,Success,**Migrated**: keboola.snowflake-transformation **[DoorDash] test zmeny nazvu** at 2024-09-19 10:53:22
intecs.ex-doordash-orders,L0 Nekter,L0 DEV,1176781417,[DoorDash] Extract orders and payment data,2024-09-19 13:32:24,Success,**Migrated**: intecs.ex-doordash-orders **[DoorDash] Extract orders and payment data** at 2024-09-19 13:32:24
keboola.ex-google-drive,L0 Nekter,L0 DEV,1061249778,[Nekter] Manual data,2024-09-19 13:33:50,Success,**Migrated**: keboola.ex-google-drive **[Nekter] Manual data** at 2024-09-19 13:33:50
keboola.orchestrator,L0 Nekter,L0 DEV,1070260573,[MAIN] Daily extractions,2024-09-19 13:33:50,Success,**Migrated**: keboola.orchestrator **[MAIN] Daily extractions** at 2024-09-19 13:33:50
keboola.orchestrator,L0 Nekter,L0 DEV,1070260927,[MAIN] Hourly extractions,2024-09-19 13:33:50,Success,**Migrated**: keboola.orchestrator **[MAIN] Hourly extractions** at 2024-09-19 13:33:50
intecs.ex-qubeyond-checks-config,L0 Nekter,L0 DEV,1085872323,[Qu] Checks configuration tables,2024-09-19 13:33:50,Success,**Migrated**: intecs.ex-qubeyond-checks-config **[Qu] Checks configuration tables** at 2024-09-19 13:33:50
keboola.orchestrator,L0 Nekter,L0 DEV,1085907539,[Qu] Extract data,2024-09-19 13:33:50,Success,**Migrated**: keboola.orchestrator **[Qu] Extract data** at 2024-09-19 13:33:50
intecs.ex-qubeyond-checks,L0 Nekter,L0 DEV,1085386309,[Qu] Checks data,2024-09-19 13:33:50,Success,**Migrated**: intecs.ex-qubeyond-checks **[Qu] Checks data** at 2024-09-19 13:33:50
keboola.ex-aws-s3,L0 Nekter,L0 DEV,1129479260,[Grubhub] Export orders,2024-09-19 13:33:50,Success,**Migrated**: keboola.ex-aws-s3 **[Grubhub] Export orders** at 2024-09-19 13:33:50
intecs.ex-qu-accounting,L0 Nekter,L0 DEV,1117510042,[Qu] Accounting data,2024-09-19 13:33:50,Success,**Migrated**: intecs.ex-qu-accounting **[Qu] Accounting data** at 2024-09-19 13:33:50
intecs.ex-olo-orders-export,L0 Nekter,L0 DEV,1100409394,[Olo] Export Orders,2024-09-19 13:33:50,Success,**Migrated**: intecs.ex-olo-orders-export **[Olo] Export Orders** at 2024-09-19 13:33:50
ex-generic-v2,L0 Nekter,L0 DEV,1073216337,"[ADHOC] UberEats dev (deprecated, now in L0 General)",2024-09-19 13:33:50,Success,"**Migrated**: ex-generic-v2 **[ADHOC] UberEats dev (deprecated, now in L0 General)** at 2024-09-19 13:33:50"
intecs.ex-qubeyond-employee-labor,L0 Nekter,L0 DEV,1086341423,[Qu] Employee Labor data,2024-09-19 13:33:50,Success,**Migrated**: intecs.ex-qubeyond-employee-labor **[Qu] Employee Labor data** at 2024-09-19 13:33:50
keboola.orchestrator,L0 Nekter,L0 DEV,1100527384,[Olo] Extract data,2024-09-19 13:33:50,Success,**Migrated**: keboola.orchestrator **[Olo] Extract data** at 2024-09-19 13:33:50
intecs.ex-doordash-orders,L0 Nekter,L0 DEV,1176781417,[DoorDash] Extract orders and payment data,2024-09-19 13:33:52,Success,**Migrated**: intecs.ex-doordash-orders **[DoorDash] Extract orders and payment data** at 2024-09-19 13:33:52
keboola.sandboxes,L0 Nekter,L0 DEV,1078603711,L0 Nekter access for data analysis,2024-09-19 13:33:52,Success,**Migrated**: keboola.sandboxes **L0 Nekter access for data analysis** at 2024-09-19 13:33:52
keboola.sandboxes,L0 Nekter,L0 DEV,1084973548,[ADHOC] QU certification,2024-09-19 13:33:52,Success,**Migrated**: keboola.sandboxes **[ADHOC] QU certification** at 2024-09-19 13:33:52
keboola.sandboxes,L0 Nekter,L0 DEV,1101369716,Qu raw data,2024-09-19 13:33:52,Success,**Migrated**: keboola.sandboxes **Qu raw data** at 2024-09-19 13:33:52
